postulante,nivel_educativo_texto,titulos_principales,anios_experiencia_efectiva,total_formaciones,cantidad_nbc,cantidad_areas,nivel_educativo_maximo,cant_bachiller,cant_doctorado,cant_educacion_basica_primaria,cant_educacion_basica_secundaria,cant_educacion_informal,cant_especializacion_profesional,cant_especializacion_tecnica_profesional,cant_especializacion_tecnologica,cant_formacion_academica,cant_formacion_laboral,cant_formacion_penitenciaria,cant_maestria,cant_normalista,cant_postdoctorado,cant_profesional,cant_tecnico_profesional,cant_tecnologico,tiene_posgrado,tiene_formacion_complementaria,perfil_multidisciplinario,total_experiencias,periodos_efectivos,dias_experiencia_efectiva,anios_experiencia_efectiva,antiguedad_laboral_dias,antiguedad_laboral_anios,densidad_laboral,duracion_promedio_experiencia,duracion_maxima_experiencia,duracion_minima_experiencia,experiencia_amplia,experiencia_extensa,trayectoria_estable,multiples_experiencias,total_empleos_postulados,participa_varios_concursos
897049935,BACHILLER,Bachiller Académico | Diplomado en la Actualización de la Resolución 045295 del 4 de agosto del 2022 del Ministerio de Trasnporte | Técnico Laboral por Competencia en Tránsito y Transporte,9.1,3,0,0,FORMACION LABORAL,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,3323,9.1,3323,9.1,1.0,3323.0,3323,3323,1,0,1,0,1,0
897052569,BACHILLER,ORIENTACION COMERCIAL,2.09,1,0,0,BACHILLER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,764,2.09,764,2.09,1.0,764.0,764,764,0,0,1,0,1,0
897052767,PROFESIONAL,ADMINISTRACION EN SEGURIDAD Y SALUD EN EL TRABAJO | Bachiller Académico,12.26,2,0,1,BACHILLER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,10,4478,12.26,7659,20.97,0.585,447.8,1278,32,1,1,0,1,1,0
897057018,TECNOLOGICO,ADMINISTRACION DE RECURSOS HUMANOS | ATENCION AL CLIENTE EN EL SECTOR PUBLICO | BACHILLER ACADEMICO | DISEÑO LIQUIDACION Y PAGO DE NOMINA | EXPRESION ORAL Y CORPORAL | FORMULACION Y EVALUACION DEL PLAN DE NEGOCIO | GESTIÓN DOCUMENTAL Y ADMINISTRACIÓN DE ARCHIVOS | LIDERAZGO EFECTIVO | MANEJO BASICO DE LA HERRAMINETA DE HOJAS DE CALCULO EXCEL | TECNOLOGIA EN GESTION DE NEGOCIOS,7.46,10,1,1,EDUCACION INFORMAL,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,7,7,2724,7.46,3720,10.18,0.732,389.14,696,181,1,0,0,1,2,1
897059297,BACHILLER,ACTA DE GRADO BACHILLER | BACHILLER ACADEMICO,1.86,2,0,0,BACHILLER,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,678,1.86,1095,3.0,0.619,226.0,301,92,0,0,0,1,1,0
897060242,TECNOLOGICO,Bachiller académico con profundización en pedagogía | NEGOCIOS INTERNACIONALES,3.87,2,1,1,PROFESIONAL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1412,3.87,1412,3.87,1.0,1412.0,1412,1412,0,0,1,0,1,0
897060470,BACHILLER,BACHILLER COMERCIAL,10.74,1,0,0,EDUCACION BASICA SECUNDARIA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3921,10.74,3921,10.74,1.0,3921.0,3921,3921,1,1,1,0,1,0
897156254,BACHILLER,bachiller académico modalidad empresarial | especializacion de vigilancia residencial,7.93,2,0,0,EDUCACION INFORMAL,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2897,7.93,2897,7.93,1.0,2897.0,2897,2897,1,0,1,0,1,0
897156521,BACHILLER,ACTUALIZACIÓN EN VIGILANCIA | AVANZADO DE VIGILANCIA Y SEGURIDAD | ESPECIALIZACIÓN EN VIGILANCIA PORTUARIA | REENTRENAMIENTO VIGILANCIA | SEMINARIO EN MANEJO SEGURO DE ARMAS | bachiller academico,15.16,6,0,0,BACHILLER,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,5537,15.16,5537,15.16,1.0,5537.0,5537,5537,1,1,1,0,1,0
897158024,PROFESIONAL,BACHILLER ACADEMICO | DERECHO,2.75,2,1,1,EDUCACION BASICA SECUNDARIA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,1006,2.75,3153,8.63,0.319,111.78,181,17,0,0,0,1,1,0
