"opec";"descripcion";"estudio";"experiencia";"tiempomin";"altenativa_estudio";"altenativa_experiencia";"altenativa_tiempomin"
2881;"Verificar que los productos vigilados por el INVIMA provenientes del exterior, cumplan
con las normas sanitarias y de comercio exterior, de acuerdo con los procedimientos
establecidos.";"Título profesional en Ingeniería de
Alimentos, Medicina Veterinaria,
Química Farmacéutica, Química,
Ingeniería Química, Ingeniería Pesquera,
Agronomía, Medicina.
Tarjeta o matrícula profesional en los
casos reglamentados por la Ley.";"Tres (3) meses de experiencia profesional
relacionada con las funciones del cargo.";3;;;
5973;"Verificar el cumplimiento de los requisitos para obtención de Registro Sanitario de los
Dispositivos médicos y otras tecnologías, con el fin de garantizar su seguridad para el
uso humano, de acuerdo con las normas y procedimientos vigentes.";"Título profesional en Medicina, Odontología, Microbiología, Bacteriología, Ingeniería Biomédica, Química Farmacéutica.
Tarjeta o matrícula profesional en los casos reglamentados por la Ley.";"Nueve (9) meses de experiencia profesional relacionada.
";9;;;
5974;"Administrar el portafolio de inversiones, custodiar los títulos valores y efectivo, efectuar
los pagos y transacciones financieras, manejar el Terminal Empresarial Bancario, en
desarrollo del objetivo Institucional de acuerdo con las normas vigentes, normas de
seguridad y Manual de Procesos y Procedimientos adoptados por la Entidad.";"Título profesional en Contaduría Pública,
Economía, Administración de Empresas,
Administración Industrial, Administración
Pública, Ingeniería Industrial.
Tarjeta o matrícula profesional en los casos
reglamentados por la Ley.";"Nueve (9) meses de experiencia
profesional relacionada.";9;;;
5975;"Verificar que los productores y distribuidores de productos farmacéuticos, cumplen los
requerimientos establecidos para la elaboración y distribución de los mismos, de
acuerdo con las normas y procedimientos vigentes.";"Título profesional en Química
Farmacéutica, Bacteriología, Microbiología
o Ingeniería Química.
Tarjeta o matrícula profesional en los casos
reglamentados por la Ley.";"Nueve (9) meses de experiencia
profesional relacionada.";9;;;
7003;"Realizar los análisis de control de calidad físico-químico a los productos farmacéuticos
garantizando el cumplimiento de los requisitos y parámetros de calidad que deben
cumplir los mismos para su distribución en el país, de acuerdo con las normas y
procedimientos vigentes.";"Título profesional en Química Farmacéutica, Bacteriología, Microbiología.
Tarjeta o matrícula profesional en los casos reglamentados por la Ley.";Doce (12) meses de experiencia profesional relacionada.;12;;;
7004;"Participar en la verificación del cumplimiento de los requerimientos establecidos para la
elaboración y distribución de productos farmacéuticos por parte de productores y
distribuidores de los mismos, de conformidad con las normas y procedimientos
vigentes.";"Título profesional en Química Farmacéutica, Bacteriología, Microbiología o Ingeniería Química.
Tarjeta o matrícula profesional en los casos reglamentados por la Ley.";Doce (12) meses de experiencia profesional relacionada.;12;;;
7751;"Realizar acciones de Inspección, Vigilancia y Control de los productos competencia del Instituto para la fabricación de los mismos, y en particular en el puerto, aeropuerto o
paso fronterizo, según sea el caso, en concordancia con la legislación sanitaria, los procedimientos.";"Título profesional en Medicina Veterinaria, Química Farmacéutica, Ingeniería Química, Ingeniería de Alimentos, Zootecnia, Ingeniería Pesquera, Agronomía.

Tarjeta o matrícula profesional en los casos reglamentados por la Ley.
";Quince (15) meses de experiencia profesional relacionada.;15;;;
7752;"Ejercer vigilancia, inspección y control a productos y establecimientos fabricantes,
importadores y comercializadores de insumos para la salud y productos de dispositivos
médicos, componentes anatómicos, reactivos de diagnóstico in Vitro, productos
oficinales y droga blanca, productos de aseo y limpieza de uso doméstico, plaguicidas
de uso doméstico, de acuerdo con la legislación, métodos y procedimientos vigentes.";"Título profesional en Bacteriología, Microbiología, Química Farmacéutica, Química, Ingeniería Química, Odontología, Ingeniería Biomédica, Biología.

Tarjeta o matrícula profesional en los casos reglamentados por la Ley.";Quince (15) meses de experiencia profesional relacionada.;15;;;
7753;"Elaborar los Actos Administrativos relacionados con el Registro Sanitario y demás
novedades asociadas con los productos vigilados por el Instituto, de acuerdo con las
normas y procedimientos vigentes.";"Título profesional en Ingeniería de
Alimentos, Química Farmacéutica,
Ingeniería Industrial de Alimentos,
Ingeniería Pesquera, Ingeniería Química,
Agronomía.
Tarjeta o matrícula profesional en los casos
reglamentados por la Ley.";"Quince (15) meses de experiencia
profesional relacionada.";15;;;
8388;"Mantener en funcionamiento el Centro de Cómputo, de acuerdo con manuales,
procedimientos, requerimientos de usuarios y normas.";"Título profesional en Ingeniería de Sistemas, Ingeniería Electrónica, Telecomunicaciones, Administración de
sistemas informáticos, Ingeniería Industrial, Ingeniería Telemática.

Tarjeta o matricula profesional en los casos reglamentados por la ley.";Dieciocho (18) meses de experiencia profesional relacionada.;18;;;
