ranking,postulante,nivel_educativo_texto,titulo_coincidente,experiencia_aspirante_meses,probabilidad_exito
1,897688816,ESPECIALIZACION PROFESIONAL,MEDICINA,65.64,1.0
2,898079220,PROFESIONAL,MEDICINA,45.96,1.0
3,900572625,ESPECIALIZACION PROFESIONAL,MEDICINA,63.599999999999994,1.0
4,898471790,PROFESIONAL,INGENIERIA QUIMICA,29.880000000000003,1.0
5,898476348,ESPECIALIZACION PROFESIONAL,QUIMICA FARMACEUTICA,114.72,1.0
6,900925091,PROFESIONAL,QUIMICA,6.720000000000001,1.0
7,903650706,PROFESIONAL,MEDICINA,69.96000000000001,1.0
8,903617910,PROFESIONAL,AGRONOMIA,128.04,1.0
9,903610483,PROFESIONAL,MEDICINA VETERINARIA,5.16,1.0
10,902097910,PROFESIONAL,MEDICINA,102.0,1.0
11,904847525,ESPECIALIZACION PROFESIONAL,INGENIERIA DE ALIMENTOS,143.64000000000001,1.0
12,904321770,PROFESIONAL,MEDICINA,28.200000000000003,1.0
13,909573950,PROFESIONAL,INGENIERIA QUIMICA,6.0,1.0
14,908238570,PROFESIONAL,MEDICINA VETERINARIA,49.199999999999996,1.0
15,942092797,PROFESIONAL,INGENIERIA QUIMICA,42.12,1.0
16,942763365,PROFESIONAL,INGENIERIA QUIMICA,156.24,1.0
17,938292754,MAESTRIA,INGENIERIA QUIMICA,20.759999999999998,1.0
18,931543371,PROFESIONAL,INGENIERIA QUIMICA,42.36,1.0
19,932412507,PROFESIONAL,INGENIERIA QUIMICA,62.400000000000006,1.0
20,932697762,ESPECIALIZACION PROFESIONAL,INGENIERIA QUIMICA,91.56,1.0
21,924783481,PROFESIONAL,INGENIERIA QUIMICA,98.28,1.0
22,924857993,PROFESIONAL,INGENIERIA QUIMICA,7.08,1.0
23,923401869,PROFESIONAL,INGENIERIA DE ALIMENTOS,106.44,1.0
24,920995692,PROFESIONAL,QUIMICA,12.0,1.0
25,919421711,PROFESIONAL,MEDICINA,55.32000000000001,1.0
26,917432041,PROFESIONAL,INGENIERIA DE ALIMENTOS,21.6,1.0
27,947645252,ESPECIALIZACION PROFESIONAL,QUIMICA FARMACEUTICA,156.35999999999999,1.0
28,940222914,PROFESIONAL,INGENIERIA QUIMICA,6.0,1.0
29,935053407,PROFESIONAL,INGENIERIA QUIMICA,75.96000000000001,1.0
30,934536679,PROFESIONAL,MEDICINA VETERINARIA,71.52,1.0
31,916401764,ESPECIALIZACION PROFESIONAL,MEDICINA,402.0,0.0
32,916272665,PROFESIONAL,INGENIERIA QUIMICA,29.28,0.0
33,911828372,PROFESIONAL,INGENIERIA QUIMICA,13.559999999999999,0.0
34,911690393,PROFESIONAL,INGENIERIA QUIMICA,6.0,0.0
35,898043983,ESPECIALIZACION PROFESIONAL,MEDICINA,102.84,0.0
36,898066492,PROFESIONAL,MEDICINA VETERINARIA,69.84,0.0
37,900073989,MAESTRIA,MEDICINA,147.72,0.0
38,898786155,PROFESIONAL,QUIMICA FARMACEUTICA,84.24,0.0
39,908794295,PROFESIONAL,INGENIERIA QUIMICA,65.88,0.0
40,907966668,PROFESIONAL,INGENIERIA QUIMICA,12.96,0.0
41,902768912,ESPECIALIZACION PROFESIONAL,QUIMICA FARMACEUTICA,238.56,0.0
42,903661050,ESPECIALIZACION PROFESIONAL,MEDICINA,45.96,0.0
43,932749527,MAESTRIA,QUIMICA,51.96,0.0
44,930373144,PROFESIONAL,INGENIERIA QUIMICA,13.200000000000001,0.0
45,930770781,PROFESIONAL,INGENIERIA DE ALIMENTOS,36.12,0.0
46,931077082,MAESTRIA,INGENIERIA QUIMICA,32.88,0.0
47,929650966,PROFESIONAL,INGENIERIA QUIMICA,12.0,0.0
48,924843383,PROFESIONAL,INGENIERIA DE ALIMENTOS,3.96,0.0
49,918798402,ESPECIALIZACION PROFESIONAL,MEDICINA,45.12,0.0
50,933029081,PROFESIONAL,INGENIERIA QUIMICA,11.399999999999999,0.0
51,938160284,PROFESIONAL,INGENIERIA QUIMICA,151.32,0.0
52,936096588,DOCTORADO,INGENIERIA QUIMICA,204.71999999999997,0.0
53,935321203,PROFESIONAL,MEDICINA,6.48,0.0
54,933121572,PROFESIONAL,INGENIERIA DE ALIMENTOS,8.64,0.0
55,932950995,PROFESIONAL,INGENIERIA QUIMICA,70.32000000000001,0.0
56,939018689,PROFESIONAL,INGENIERIA QUIMICA,15.24,0.0
57,940372003,ESPECIALIZACION PROFESIONAL,INGENIERIA QUIMICA,98.88,0.0
58,940679526,PROFESIONAL,INGENIERIA QUIMICA,104.03999999999999,0.0
