opec,descripcion,nivel_requerido,titulos_requeridos,experiencia_minima_meses
2881,"Verificar que los productos vigilados por el INVIMA provenientes del exterior cumplan con las normas sanitarias vigentes",PROFESIONAL,"AGRONOMIA|INGENIERIA DE ALIMENTOS|INGENIERIA PESQUERA|INGENIERIA QUIMICA|MEDICINA|MEDICINA VETERINARIA|QUIMICA|QUIMICA FARMACEUTICA",3.0
5973,"Verificar el cumplimiento de los requisitos para obtención de Registro Sanitario de los Dispositivos médicos y otros",PROFESIONAL,"BACTERIOLOGIA|INGENIERIA BIOMEDICA|MEDICINA|MICROBIOLOGIA|ODONTOLOGIA|QUIMICA FARMACEUTICA",9.0
5974,"Administrar el portafolio de inversiones custodiar los títulos valores y efectivo efectuar los pagos y transacciones financieras",PROFESIONAL,"ADMINISTRACION DE EMPRESAS|ADMINISTRACION INDUSTRIAL|ADMINISTRACION PUBLICA|CONTADURIA PUBLICA|ECONOMIA|INGENIERIA INDUSTRIAL",9.0
5975,"Verificar que los productores y distribuidores de productos farmacéuticos cumplen los requerimientos establecidos",PROFESIONAL,"BACTERIOLOGIA|INGENIERIA QUIMICA|MICROBIOLOGIA|QUIMICA FARMACEUTICA",9.0
7003,"Realizar los análisis de control de calidad físico-químico a los productos farmacéuticos garantizando el cumplimiento",PROFESIONAL,"BACTERIOLOGIA|MICROBIOLOGIA|QUIMICA FARMACEUTICA",12.0
7004,"Ejecutar actividades de inspección vigilancia y control de establecimientos que procesan alimentos de consumo humano",PROFESIONAL,"INGENIERIA DE ALIMENTOS|INGENIERIA QUIMICA|MEDICINA VETERINARIA|QUIMICA FARMACEUTICA",6.0
7005,"Desarrollar actividades de inspección vigilancia y control de medicamentos cosméticos y dispositivos médicos",PROFESIONAL,"BACTERIOLOGIA|INGENIERIA QUIMICA|MICROBIOLOGIA|QUIMICA FARMACEUTICA",6.0
7006,"Ejecutar procesos de análisis microbiológicos a los productos de consumo humano para garantizar su inocuidad",PROFESIONAL,"BACTERIOLOGIA|INGENIERIA DE ALIMENTOS|MICROBIOLOGIA|QUIMICA FARMACEUTICA",12.0
7007,"Administrar los procesos de contratación de la entidad de acuerdo con la normatividad vigente",PROFESIONAL,"ADMINISTRACION DE EMPRESAS|ADMINISTRACION PUBLICA|DERECHO|INGENIERIA INDUSTRIAL",12.0
7008,"Desarrollar actividades de apoyo en los procesos de evaluación de registros sanitarios de alimentos",PROFESIONAL,"INGENIERIA DE ALIMENTOS|INGENIERIA QUIMICA|MEDICINA VETERINARIA|QUIMICA|QUIMICA FARMACEUTICA",6.0
8001,"Coordinar y supervisar actividades de investigación científica aplicada a la salud pública",ESPECIALIZACION PROFESIONAL,"MEDICINA|QUIMICA FARMACEUTICA|BACTERIOLOGIA|MICROBIOLOGIA",24.0
8002,"Liderar procesos de evaluación de impacto de políticas públicas en salud y seguridad alimentaria",MAESTRIA,"MEDICINA|QUIMICA|INGENIERIA DE ALIMENTOS|INGENIERIA QUIMICA",36.0
8003,"Dirigir y coordinar los procesos de control sanitario de alimentos de origen animal",ESPECIALIZACION PROFESIONAL,"MEDICINA VETERINARIA|AGRONOMIA|INGENIERIA DE ALIMENTOS",24.0
8004,"Diseñar y ejecutar programas de farmacovigilancia y tecnovigilancia a nivel nacional",ESPECIALIZACION PROFESIONAL,"MEDICINA|QUIMICA FARMACEUTICA|INGENIERIA BIOMEDICA",18.0
8005,"Asesorar en materia de regulación sanitaria y normatividad para registro de productos",PROFESIONAL,"DERECHO|ADMINISTRACION PUBLICA|MEDICINA|QUIMICA FARMACEUTICA",18.0
9001,"Investigar y desarrollar nuevas metodologías analíticas para el control de calidad de medicamentos",DOCTORADO,"QUIMICA FARMACEUTICA|QUIMICA|MICROBIOLOGIA|BACTERIOLOGIA",48.0
9002,"Coordinar la implementación de sistemas de gestión de calidad bajo normas ISO en laboratorios",ESPECIALIZACION PROFESIONAL,"INGENIERIA QUIMICA|QUIMICA FARMACEUTICA|INGENIERIA DE ALIMENTOS|QUIMICA",12.0
9003,"Supervisar la operación de plantas de procesamiento de alimentos y control de puntos críticos HACCP",PROFESIONAL,"INGENIERIA DE ALIMENTOS|INGENIERIA QUIMICA|MEDICINA VETERINARIA|AGRONOMIA",12.0
9004,"Ejecutar el análisis y seguimiento de indicadores epidemiológicos de enfermedades de transmisión alimentaria",PROFESIONAL,"MEDICINA|MEDICINA VETERINARIA|BACTERIOLOGIA|MICROBIOLOGIA",6.0
9005,"Gestionar y hacer seguimiento a los procesos de habilitación de servicios de salud",PROFESIONAL,"MEDICINA|ODONTOLOGIA|BACTERIOLOGIA|ENFERMERIA",12.0
