opec,descripcion,nivel_requerido,titulos_requeridos,experiencia_minima_meses
2881,"Verificar que los productos vigilados por el INVIMA provenientes del exterior, cumplan
con las normas sanitarias y de comercio exterior, de acuerdo con los procedimientos
establecidos.",PROFESIONAL,AGRONOMÍA | INGENIERÍA DE ALIMENTOS | INGENIERÍA PESQUERA | INGENIERÍA QUÍMICA | MEDICINA | MEDICINA VETERINARIA | QUÍMICA | QUÍMICA FARMACÉUTICA,3.0
5973,"Verificar el cumplimiento de los requisitos para obtención de Registro Sanitario de los
Dispositivos médicos y otras tecnologías, con el fin de garantizar su seguridad para el
uso humano, de acuerdo con las normas y procedimientos vigentes.",PROFESIONAL,BACTERIOLOGÍA | INGENIERÍA BIOMÉDICA | MEDICINA | MICROBIOLOGÍA | ODONTOLOGÍA | QUÍMICA FARMACÉUTICA,9.0
5974,"Administrar el portafolio de inversiones, custodiar los títulos valores y efectivo, efectuar
los pagos y transacciones financieras, manejar el Terminal Empresarial Bancario, en
desarrollo del objetivo Institucional de acuerdo con las normas vigentes, normas de
seguridad y Manual de Procesos y Procedimientos adoptados por la Entidad.",PROFESIONAL,ADMINISTRACIÓN DE EMPRESAS | ADMINISTRACIÓN INDUSTRIAL | ADMINISTRACIÓN PÚBLICA | CONTADURÍA PÚBLICA | ECONOMÍA | INGENIERÍA INDUSTRIAL,9.0
5975,"Verificar que los productores y distribuidores de productos farmacéuticos, cumplen los
requerimientos establecidos para la elaboración y distribución de los mismos, de
acuerdo con las normas y procedimientos vigentes.",PROFESIONAL,BACTERIOLOGÍA | INGENIERÍA QUÍMICA | MICROBIOLOGÍA | QUÍMICA FARMACÉUTICA,9.0
7003,"Realizar los análisis de control de calidad físico-químico a los productos farmacéuticos
garantizando el cumplimiento de los requisitos y parámetros de calidad que deben
cumplir los mismos para su distribución en el país, de acuerdo con las normas y
procedimientos vigentes.",PROFESIONAL,BACTERIOLOGÍA | MICROBIOLOGÍA | QUÍMICA FARMACÉUTICA,12.0
7004,"Participar en la verificación del cumplimiento de los requerimientos establecidos para la
elaboración y distribución de productos farmacéuticos por parte de productores y
distribuidores de los mismos, de conformidad con las normas y procedimientos
vigentes.",PROFESIONAL,BACTERIOLOGÍA | INGENIERÍA QUÍMICA | MICROBIOLOGÍA | QUÍMICA FARMACÉUTICA,12.0
7751,"Realizar acciones de Inspección, Vigilancia y Control de los productos competencia del Instituto para la fabricación de los mismos, y en particular en el puerto, aeropuerto o
paso fronterizo, según sea el caso, en concordancia con la legislación sanitaria, los procedimientos.",PROFESIONAL,AGRONOMÍA | INGENIERÍA DE ALIMENTOS | INGENIERÍA PESQUERA | INGENIERÍA QUÍMICA | MEDICINA VETERINARIA | QUÍMICA FARMACÉUTICA | ZOOTECNIA,15.0
7752,"Ejercer vigilancia, inspección y control a productos y establecimientos fabricantes,
importadores y comercializadores de insumos para la salud y productos de dispositivos
médicos, componentes anatómicos, reactivos de diagnóstico in Vitro, productos
oficinales y droga blanca, productos de aseo y limpieza de uso doméstico, plaguicidas
de uso doméstico, de acuerdo con la legislación, métodos y procedimientos vigentes.",PROFESIONAL,BACTERIOLOGÍA | BIOLOGÍA | INGENIERÍA BIOMÉDICA | INGENIERÍA QUÍMICA | MICROBIOLOGÍA | ODONTOLOGÍA | QUÍMICA | QUÍMICA FARMACÉUTICA,15.0
7753,"Elaborar los Actos Administrativos relacionados con el Registro Sanitario y demás
novedades asociadas con los productos vigilados por el Instituto, de acuerdo con las
normas y procedimientos vigentes.",PROFESIONAL,AGRONOMÍA | INGENIERÍA DE ALIMENTOS | INGENIERÍA INDUSTRIAL DE ALIMENTOS | INGENIERÍA PESQUERA | INGENIERÍA QUÍMICA | QUÍMICA FARMACÉUTICA,15.0
8388,"Mantener en funcionamiento el Centro de Cómputo, de acuerdo con manuales,
procedimientos, requerimientos de usuarios y normas.",PROFESIONAL,ADMINISTRACIÓN DE SISTEMAS INFORMÁTICOS | INGENIERÍA DE SISTEMAS | INGENIERÍA ELECTRÓNICA | INGENIERÍA INDUSTRIAL | INGENIERÍA TELEMÁTICA | TELECOMUNICACIONES,18.0
9733,"Desarrollar los programas de Salud Ocupacional, Bienestar Social e incentivos y demás actividades relacionadas con la carrera administrativa tendientes al
mejoramiento y la calidad de vida de los empleados, de acuerdo con las normas y procedimientos legales vigentes.",PROFESIONAL,ADMINISTRACIÓN DE EMPRESAS | ADMINISTRACIÓN DE RECURSOS HUMANOS | ADMINISTRACIÓN INDUSTRIAL | ADMINISTRACIÓN PÚBLICA | ADMINISTRACIÓN TURÍSTICA | HOTELERA | INGENIERÍA INDUSTRIAL | PSICOLOGÍA,24.0
9734,"Ejecutar actividades de vigilancia y control a productos, productores y distribuidores de productos farmacéuticos, constatando que los mismos cumplan con los parámetros de
calidad y requerimientos establecidos para la elaboración y distribución de productos farmacéuticos, de acuerdo con las normas y procedimientos vigentes.",PROFESIONAL,BACTERIOLOGÍA | BIOLOGÍA | LICENCIATURA EN QUÍMICA | MEDICINA | MICROBIOLOGÍA | ODONTOLOGÍA | QUÍMICA FARMACÉUTICA,15.0
9735,"Realizar control de calidad a los alimentos y bebidas como apoyo a las labores de
vigilancia y control competencia de la Dirección de Alimentos y Bebidas de acuerdo con
las normas y procedimientos vigentes.",PROFESIONAL,DE ALIMENTOS | INGENIERÍA DE ALIMENTOS | INGENIERÍA INDUSTRIAL | INGENIERÍA QUÍMICA | QUÍMICA | QUÍMICA FARMACÉUTICA,24.0
11200,"Cumplir  con  la  inspección,  vigilancia  y  control  de  los  alimentos  y  bebidas,  en concordancia con la legislación sanitaria, las políticas, directrices del Instituto y los
procedimientos vigentes en cumplimiento de su misión institucional.
",PROFESIONAL,,30.0
11201,"Cumplir con la inspección, vigilancia y control de los alimentos y bebidas alcohólicas, en concordancia con la legislación sanitaria, las políticas, directrices de la Institución y los procedimientos vigentes en cumplimiento de su misión institucional.",PROFESIONAL,,30.0
11202,"Cumplir con la inspección, vigilancia y control de los alimentos y bebidas alcohólicas, en concordancia con la legislación sanitaria, las políticas, directrices de la Institución y los procedimientos vigentes en cumplimiento de su misión institucional.",PROFESIONAL,,30.0
